region,disease,data,val
oceania,thyroid,incidence,4
oceania,thyroid,lower,0
oceania,thyroid,upper,10
oceania,nasopharyngeal,incidence,1
oceania,nasopharyngeal,lower,0
oceania,nasopharyngeal,upper,5
oceania,melanoma,incidence,5
oceania,melanoma,lower,0
oceania,melanoma,upper,14
oceania,skin_carcinoma,incidence,0
oceania,skin_carcinoma,lower,0
oceania,skin_carcinoma,upper,2
oceania,unspecified_carcinoma,incidence,5
oceania,unspecified_carcinoma,lower,0
oceania,unspecified_carcinoma,upper,13
australia/new zealand,carcinoma_melanoma,incidence,30
australia/new zealand,carcinoma_melanoma,lower,14
australia/new zealand,carcinoma_melanoma,upper,51
australia/new zealand,adrenocortical,incidence,0
australia/new zealand,adrenocortical,lower,0
australia/new zealand,adrenocortical,upper,2
australia/new zealand,thyroid,incidence,4
australia/new zealand,thyroid,lower,0
australia/new zealand,thyroid,upper,12
australia/new zealand,nasopharyngeal,incidence,1
australia/new zealand,nasopharyngeal,lower,0
australia/new zealand,nasopharyngeal,upper,5
australia/new zealand,melanoma,incidence,13
australia/new zealand,melanoma,lower,2
australia/new zealand,melanoma,upper,27
australia/new zealand,skin_carcinoma,incidence,1
australia/new zealand,skin_carcinoma,lower,0
australia/new zealand,skin_carcinoma,upper,3
australia/new zealand,unspecified_carcinoma,incidence,11
australia/new zealand,unspecified_carcinoma,lower,2
australia/new zealand,unspecified_carcinoma,upper,21
