region,disease,incidence,lower,upper
southern europe,burkitt_bl,99,59,135
southern europe,lymphoreticular,36,20,56
southern europe,unspecified_lymphoma,13,4,27
western europe,hodgkin,202,124,269
western europe,non_hodgkin_except_bl,163,96,231
western europe,burkitt_bl,105,61,144
western europe,lymphoreticular,48,22,84
western europe,unspecified_lymphoma,5,1,12
northern america,hodgkin,394,223,505
northern america,non_hodgkin_except_bl,441,281,555
northern america,burkitt_bl,170,94,232
northern america,lymphoreticular,125,64,175
northern america,unspecified_lymphoma,22,11,34
caribbean,hodgkin,73,41,118
caribbean,non_hodgkin_except_bl,102,42,196
caribbean,burkitt_bl,16,6,29
caribbean,lymphoreticular,7,1,16
caribbean,unspecified_lymphoma,9,2,18
central america,hodgkin,508,263,730
central america,non_hodgkin_except_bl,509,213,761
central america,burkitt_bl,158,86,233
central america,lymphoreticular,95,34,158
central america,unspecified_lymphoma,45,22,70
south america,hodgkin,911,561,1271
south america,non_hodgkin_except_bl,872,572,1245
south america,burkitt_bl,415,249,595
south america,lymphoreticular,191,106,296
south america,unspecified_lymphoma,181,101,270
oceania,hodgkin,13,4,25
oceania,non_hodgkin_except_bl,14,2,31
oceania,burkitt_bl,9,1,19
oceania,lymphoreticular,2,0,7
oceania,unspecified_lymphoma,2,0,6
australia/new zealand,hodgkin,26,8,43
australia/new zealand,non_hodgkin_except_bl,30,11,52
australia/new zealand,burkitt_bl,13,4,24
australia/new zealand,lymphoreticular,4,0,10
australia/new zealand,unspecified_lymphoma,1,0,3
eastern africa,ganglio_neuroblastoma,632,353,1233
eastern africa,peripheral_nervous,150,40,717
eastern africa,retinoblastoma,2310,1540,3752
southern africa,ganglio_neuroblastoma,275,159,567
southern africa,peripheral_nervous,18,4,46
southern africa,retinoblastoma,515,251,907
western africa,ganglio_neuroblastoma,1247,617,1963
western africa,peripheral_nervous,163,59,766
western africa,retinoblastoma,7824,3725,15926
northern africa,ganglio_neuroblastoma,1169,754,1564
northern africa,peripheral_nervous,59,21,164
northern africa,retinoblastoma,460,298,642
eastern asia,ganglio_neuroblastoma,3007,1545,4419
eastern asia,peripheral_nervous,41,10,85
eastern asia,retinoblastoma,1345,378,2221
south-central asia,ganglio_neuroblastoma,3077,1840,4119
south-central asia,peripheral_nervous,178,121,302
south-central asia,retinoblastoma,3504,2476,4785
south-eastern asia,ganglio_neuroblastoma,1025,579,1558
south-eastern asia,peripheral_nervous,24,10,44
south-eastern asia,retinoblastoma,1393,878,2003
western asia,ganglio_neuroblastoma,772,498,1049
western asia,peripheral_nervous,12,2,46
western asia,retinoblastoma,339,216,463
eastern europe,ganglio_neuroblastoma,545,337,739
eastern europe,peripheral_nervous,12,3,26
eastern europe,retinoblastoma,176,105,286
northern europe,ganglio_neuroblastoma,150,78,208
northern europe,peripheral_nervous,2,0,6
northern europe,retinoblastoma,60,32,87
southern europe,ganglio_neuroblastoma,261,193,322
southern europe,peripheral_nervous,7,2,13
southern europe,retinoblastoma,79,51,107
western europe,ganglio_neuroblastoma,299,198,385
western europe,peripheral_nervous,4,1,9
western europe,retinoblastoma,99,65,136
northern america,ganglio_neuroblastoma,743,605,884
northern america,peripheral_nervous,10,4,18
northern america,retinoblastoma,269,195,349
caribbean,ganglio_neuroblastoma,93,51,153
caribbean,peripheral_nervous,2,0,7
caribbean,retinoblastoma,42,20,80
central america,ganglio_neuroblastoma,239,107,371
central america,peripheral_nervous,16,2,46
central america,retinoblastoma,302,144,434
south america,ganglio_neuroblastoma,675,385,935
south america,peripheral_nervous,39,17,63
south america,retinoblastoma,657,461,906
oceania,ganglio_neuroblastoma,24,9,47
oceania,peripheral_nervous,2,0,7
oceania,retinoblastoma,16,2,32
australia/new zealand,ganglio_neuroblastoma,56,32,86
australia/new zealand,peripheral_nervous,2,0,6
australia/new zealand,retinoblastoma,26,11,49
eastern africa,other_specified,188,89,461
eastern africa,other_unspecified,3123,1967,4521
southern africa,other_specified,9,2,23
